timestamp,accountValue,pnl
1769032200020,0.0,0.0
1769035800020,5643.88283,40.62283
1769638200063,9946.917411,-988.712589
1770249000073,9440.075344,-1495.554656
1770853800044,11611.678831,-1262.681169
1771453800076,12210.445676,-609.944324
1771541400025,12239.736673,-580.653327
1771629000100,11427.455026,-1392.934974
1771714200055,11221.221019,-1599.168981
1771801800067,11580.98351,-1239.40649
1771885800035,11209.565853,-1258.614147
1771972200058,11461.341189,-1006.838811
1772061000016,11286.336164,-1239.083836
1772143800076,11268.108966,-1257.311034
1772231400022,11231.903833,-1293.516167
1772319000037,11190.957598,-1334.462402
1772405400083,10901.509688,-1623.910312
1772493000079,10992.411297,-1533.008703
1772580600077,11039.164537,-1486.255463
1772662197675,10790.962224,-1343.357776
1772748600041,10734.035719,-1400.284281
1772836200011,10719.809976,-1414.510024
1772923800036,10459.639021,-1544.000979
1773011400028,10402.293606,-1601.346394
1773094200063,10290.264479,-1694.945521
1773183000091,10499.27033,-1485.93967
1773273000001,10458.020064,-1527.189936
1773358200071,10571.733755,-1413.476245
1773445800093,10512.848094,-1472.361906
1773526200033,10790.128413,-1195.081587
1773580200071,10971.885164,-1013.324836
1773635400016,10847.229709,-1137.980291
1773690600080,10480.897406,-1504.312594
1773748200056,10500.030149,-1485.179851
1773811800027,10313.302921,-1671.907079
1773864600091,10075.847808,-1909.362192
1773919800048,10278.485677,-1706.724323
1773984600019,10398.491367,-1586.718633
1774039800027,10333.749098,-1651.460902
1774093800069,10322.098615,-1663.111385
1774149000033,10507.084991,-1478.125009
1774174439774,10368.459068,-1616.750932
