timestamp,accountValue,pnl
1767820800023,0.0,0.0
1767824400023,30000.0,0.0
1768429200034,217723.217497,651.597497
1769036400012,219395.926429,-165.373571
1769642400120,223021.049757,-487.590243
1770241200048,181526.974495,-41981.665505
1770850800087,166117.204433,-57396.435567
1771455600022,172025.725445,-51482.814555
1771539600063,173559.885792,-49948.654208
1771627200006,176294.983647,-47213.556353
1771713600081,176577.996616,-46930.543384
1771801200093,175697.32599,-47811.21401
1771882800091,168196.268018,-55312.271982
1771969200102,166309.367517,-57199.172483
1772061600097,179012.126994,-44496.413006
1772149200051,179012.126994,-44496.413006
1772232000080,275369.966893,-48138.373107
1772319600066,282924.980202,-40583.359798
1772407200056,279197.064608,-44311.275392
1772491200061,294155.512886,-29352.827114
1772577600120,292132.841871,-31375.498129
1772664000023,303218.896463,-20289.443537
1772749200030,299864.518063,-23643.821937
1772838000092,289147.496217,-34360.843783
1772925600000,284613.489215,-38894.850785
1773012000046,279759.633944,-43748.706056
1773097200038,290458.884763,-33049.455237
1773183600061,298387.643475,-25120.696525
1773267600091,298437.644637,-25120.695363
1773357600032,298387.643475,-25120.696525
1773439200005,298387.643475,-25120.696525
1773510000019,298193.193401,-25315.146599
1773579600023,301409.079653,-22099.260347
1773649200046,305823.268731,-17685.071269
1773721841125,305828.268731,-17685.071269
1773800400076,305828.268731,-17685.071269
1773864000055,304961.584966,-18551.755034
1773926135821,396105.579213,-27407.560787
1773991200074,403311.304949,-20201.835051
1774062000013,406694.075235,-16819.064765
1774131600082,404074.797727,-19438.342273
1774174508669,394342.525016,-29170.614984
