timestamp,accountValue,pnl
1757539200087,0.0,0.0
1757542800087,25643.862213,643.862213
1758147600024,26251.675311,1231.675311
1758753600078,24613.483706,-386.536294
1759354800067,25487.116355,487.096355
1759964400039,25910.629613,910.609613
1760570400022,26002.225184,1002.205184
1761175200060,25796.53081,790.54081
1761776400043,28397.396043,3391.406043
1762382400036,26124.208387,1118.218387
1762989600019,24862.33425,-143.65575
1763588400102,23227.476043,-1773.513957
1764198000032,23432.234105,-1568.755895
1764805200082,23806.834061,-1194.155939
1765405200064,23210.259452,-1790.730548
1766013600096,21697.089778,-3303.900222
1766619600051,22138.218866,-2862.771134
1767224400076,22257.192631,-2743.487369
1767828000097,22305.990811,-2694.689189
1768432800058,23117.583086,-1883.096914
1769032800093,21666.835621,-3333.844379
1769642400120,23788.933482,-1211.746518
1770241200048,21515.414107,-3485.265893
1770847200067,20061.892294,-4938.787706
1771455600022,19400.521489,-5600.158511
1771627200006,19884.421129,-5116.258871
1771801200093,19776.528277,-5224.151723
1771969200102,18943.593662,-6057.086338
1772149200051,19731.136364,-5269.543636
1772320800053,20078.483656,-4922.196344
1772491200061,20917.323592,-4083.356408
1772664000023,21207.636208,-3793.043792
1772838000092,20381.836179,-4618.843821
1773012000046,20121.752562,-4878.927438
1773183600061,21161.663119,-3839.016881
1773351600042,21785.231158,-3215.448842
1773531600086,22048.174746,-2952.505254
1773703200063,23139.118305,-1861.561695
1773876000074,22864.692681,-2135.987319
1774047600047,22473.658237,-2527.021763
1774174560103,21854.967231,-3145.712769
