timestamp,accountValue,pnl
1764192840062,0.0,0.0
1764196440062,8768.023735,-1131.976265
1764801240024,8399.775391,-1500.224609
1765410840049,30542.960228,-1357.039772
1766015640035,101502.73462,1729.25462
1766616840036,109776.118202,-2478.301798
1767221640026,199429.278096,-12825.141904
1767825240079,211120.558851,-1133.861149
1768434840045,192734.138659,-19520.281341
1769036040126,194477.823733,-17776.596267
1769642040071,216568.695681,4314.275681
1770248040112,185052.914062,-27201.505938
1770854040120,163860.461649,-48393.958351
1771451640062,166181.889689,-46072.530311
1771631640072,165619.942547,-46634.477453
1771802040102,167735.932136,-44518.487864
1771973640069,164324.259509,-47930.160491
1772148840039,166573.377373,-45681.042627
1772316840061,165357.420312,-46896.999688
1772493240007,167234.467138,-45019.952862
1772666040023,171882.559896,-40371.860104
1772835240067,172422.643692,-39831.776308
1773006840058,172953.964316,-39300.455684
1773179640071,170668.218406,-41586.201594
1773352440058,170322.15869,-41932.26131
1773464040000,169427.841155,-42826.578845
1773574440035,169512.692573,-42741.727427
1773683640069,171157.847154,-41096.572846
1773791640080,171482.175968,-40772.244032
1773893640124,171756.422587,-40497.997413
1773996840040,171647.714402,-40606.705598
1774100040042,172959.204998,-39295.215002
1774174570801,173395.857989,-38858.562011
