timestamp,accountValue,pnl
1753309200046,0.0,0.0
1753312800046,6130.81423,380.71423
1753918080044,40388.773488,2846.943488
1754523000047,54821.197498,3966.877498
1755126888726,85943.364059,21527.974059
1755730200038,72539.357109,20237.467109
1756337880014,39299.562155,-11437.237845
1756942680038,36471.945494,-13368.734506
1757542680042,29077.608421,-18503.121579
1758151080058,27860.053358,-19720.676642
1758755880035,28083.787505,-17775.282495
1759359480053,29980.910779,-15878.159221
1759967880012,27035.954911,-17788.505089
1760567880068,46536.061967,1244.081967
1761173880072,30764.072298,-17838.507702
1761777480031,30156.316477,-18446.263523
1762387080072,30594.499587,-17713.280413
1762985880043,25856.556276,-20962.633724
1763595480023,24152.227499,-22663.962501
1764199080006,23339.082936,-23477.107064
1764799080056,26091.867453,-20667.382547
1765407480026,23202.205214,-23557.044786
1766013480038,19223.824745,-27535.425255
1766613480057,14166.61547,-32592.63453
1767219480014,11398.923696,-34385.886304
1767824280049,19466.484214,-26318.325786
1768431480066,17285.708044,-28255.511956
1769032680014,19663.846874,-26877.373126
1769639880053,19765.036177,-26776.183823
1770244680021,21960.991396,-24672.168604
1770853080021,24461.963469,-20443.936531
1771459080066,20432.612497,-24573.287503
1771712280035,19704.281945,-25301.618055
1771972680123,18701.076287,-26304.823713
1772060280097,24154.281234,-20851.618766
1772319480028,20274.010329,-25031.889671
1772404680051,15172.859837,-30133.040163
1772663880040,12494.672353,-33011.227647
1772924280120,10287.731389,-35318.168611
1773187080038,10269.055294,-35336.844706
1773440280013,9081.243449,-36044.656551
1773650280086,10390.888528,-34735.011472
1773863880017,10724.574286,-34401.325714
1774078680045,10777.916424,-34347.983576
1774174577814,11566.984572,-33558.915428
