timestamp,accountValue,pnl
1770844680064,0.0,0.0
1770848280064,39845.595587,-154.404413
1771455480065,38840.051589,-1159.948411
1771545480042,38338.084882,-1661.915118
1771624680099,37726.538771,-2273.461229
1771712280035,37539.99213,-2460.00787
1771797480024,37189.965661,-2810.034339
1771891080052,38554.606359,-1445.393641
1771972680123,38609.836244,-1390.163756
1772060280097,37582.008386,-2417.991614
1772146680017,36696.55968,-3303.44032
1772234280008,36206.065583,-3793.934417
1772319480028,35768.189493,-4231.810507
1772405880134,35511.207661,-4488.792339
1772493480134,35436.882215,-4563.117785
1772581080035,34233.748356,-5766.251644
1772663880040,34883.084807,-5116.915193
1772753880032,34269.568044,-5730.431956
1772840280044,54515.677111,-5534.322889
1772921880006,54674.683039,-5375.316961
1773007080053,54355.370748,-5694.629252
1773095880053,54358.088994,-5691.911006
1773184680033,54971.704302,-5078.295698
1773272280038,55406.808922,-4643.191078
1773359880052,54647.901221,-5402.098779
1773440280013,54765.914349,-5284.085651
1773478680048,54583.466777,-5466.533223
1773517080026,54678.239181,-5371.760819
1773562680073,54961.745828,-5088.254172
1773603480026,54908.057217,-5141.942783
1773650280086,56196.954575,-3853.045425
1773689880075,57583.665528,-2466.334472
1773737880028,57509.362063,-2540.637937
1773777480154,57541.076053,-2508.923947
1773824280015,57487.861517,-2562.138483
1773863880017,56767.535972,-3282.464028
1773903480094,56966.873197,-3083.126803
1773943080058,57160.882429,-2889.117571
1773982680056,56898.182951,-3151.817049
1774022280067,57173.041045,-2876.958955
1774061880091,56976.155246,-3073.844754
1774101480092,57000.024017,-3049.975983
1774141080024,57412.014389,-2637.985611
1774174587452,57614.333291,-2435.666709
