timestamp,accountValue,pnl
1765407480076,0.0,0.0
1765411080076,87988.457272,-5852.252728
1766008680047,149979.214611,3542.874611
1766617080117,165062.37678,22406.89678
1767225480005,151570.134465,315.994465
1767824280049,174243.138703,6924.528703
1768431480066,129632.053248,-37686.556752
1769038680076,183241.790701,15923.180701
1769639880053,191226.998475,21143.138475
1770246638470,347093.14427,154823.78427
1770850680096,449059.571401,212041.381401
1771454269322,513575.358573,222569.768573
1771544385397,542183.43103,221855.96103
1771717157290,564104.92505,222931.74505
1771890054564,539973.767999,206580.727999
1772061480050,550174.036555,192159.736555
1772236680033,570746.5376639999,198801.237664
1772404680051,570329.184458,201785.684458
1772495880002,476323.976865,165642.026865
1772662680026,533286.521915,206678.271915
1772752702973,527426.443855,202051.073855
1772924280120,496597.952732,172745.102732
1773093673456,483931.770243,160154.670243
1773183480077,470151.032289,147216.172289
1773356982984,467186.66825,144092.11825
1773532680013,462127.016974,139118.756974
1773629880045,460413.350163,137446.320163
1773727080026,486193.377245,138683.247245
1773823080052,487505.728456,140057.618456
1773917880094,502666.984803,156936.154803
1774007880014,488059.499638,142228.669638
1774101480092,485273.080238,139442.250238
1774174680076,505481.369,159650.539
