vault_address,nav_start,nav_end,annualized_return,sharpe,mdd,win_rate,freq,metrics_mode,balance,time_in_market,avg_hold_days,trader_age_hours
0x1e37a337ed460039d1b15bd3bc489de789768d5e,10000.0,6149297.462261013,63.75,1.96,-0.8,0.56,D,full,6149297.462261013,1.0,100.79166666666669,13487.42108823028
0x45e7014f092c5f9c39482caec131346f13ac5e73,199360.58887699997,5170790.805680976,56450207193.65,7.16,-0.24,0.7,D,full,5170790.805680976,0.98,12.444444444444445,1170.7564817125
0x115849ce84370f25cadcf0d348510d73837e1aa5,150000.0,3085458.824534992,9012009698553.07,3.29,-0.05,0.64,D,full,3085458.824534992,0.6,20.041666666666668,897.1208562013888
0xb1505ad1a4c7755e0eb236aa2f4327bfc3474768,617246.0516339999,3051346.753505009,190.51,6.14,-0.21,0.6,D,full,3051346.753505009,1.0,111.04166666666669,2674.2428778830554
0xf967239debef10dbc78e9bbbb2d8a16b72a614eb,468270.054258,4571585.990709525,1.96,-0.16,-3.2,0.5,D,full,4571585.990709525,0.88,428.375,18403.00425648472
0xa6a34f0bf2ccea9a1ddf9e9a973f17c498dc5e40,0.0,2311073.3269519806,2.5318114599667212e+16,-1.63,-1444.6,0.59,D,full,2311073.3269519806,1.0,78.79166666666667,3136.3821985911113
0x07fd993f0fa3a185f7207adccd29f7a87404689d,249999.0,489203.8030459772,0.96,1.24,-0.94,0.26,D,full,489203.8030459772,1.0,7.541666666666667,8718.705910083332
0xd6e56265890b76413d1d527eb9b75e334c0c5b42,796355.0231340001,3263361.8457669904,34.7,2.44,-0.43,0.51,D,full,3263361.8457669904,1.0,30.666666666666668,3470.264292983611
0x914434e8a235cb608a94a5f70ab8c40927152a24,241140.402178,2146123.2907939656,128.71,3.72,-0.35,0.58,D,full,2146123.2907939656,1.0,54.18055555555556,3935.232902540278
0xc179e03922afe8fa9533d3f896338b9fb87ce0c8,5000.0,1634185.356647998,7.09147191096757e+21,3.05,-0.02,0.65,D,full,1634185.356647998,0.96,19.5,1026.3961898027778
0x5a733b25a17dc0f26b862ca9e32b439801b1a8c7,20000.0,2035588.8780719773,5.91,1.64,-0.85,0.37,D,full,2035588.8780719773,0.98,177.29166666666666,20964.28603887028
0xc5098d9a59e4a5cc15ac3b71c02d80d2a3cabbf7,100000.0,1501506.843506005,377610.38,2.73,-0.43,0.52,D,full,1501506.843506005,1.0,65.66666666666667,1869.1591471925
0x27d33e77c8e6335089f56e399bf706ae9ad402b9,73839.903975,1042446.902060008,12.34,2.03,-0.73,0.54,D,full,1042446.902060008,0.82,45.34375,8967.868272829444
0x1840bdb83caff17de910ec407cafb817678786b5,1000.0,1236850.0140210018,2694.79,1.66,-0.22,0.51,D,full,1236850.0140210018,1.0,87.125,7896.507849733888
0x957fec7e7db4cec37cca9fbdb2a98185a9e9ee60,299966.724603,1033150.1556709978,3666.14,3.36,-0.12,0.65,D,full,1033150.1556709978,0.99,12.802083333333334,1341.0881653975
0xca230e816bdb34a46960c2f978a30a563d1ae9e0,64481.99350700018,2428658.087478894,272.74,0.96,-5.88,0.28,D,full,2428658.087478894,1.0,30.416666666666668,9463.748852526389
0xbbf7d7a9d0eaeab4115f022a6863450296112422,99000.0,482665.06348699663,4.96,1.83,-0.74,0.43,D,full,482665.06348699663,1.0,24.208333333333332,7780.815364449722
0xa844d7ac9fa3424c4fd38a25baa23e460ec3e802,69420.0,623194.9105459875,7.77,2.02,-0.91,0.52,D,full,623194.9105459875,0.99,73.16666666666667,8864.450318029167
